example_id                                                              | status | run_time        |
./spec/repositories/persistence/menus_repository_spec.rb[1:4:3:2]       | passed | 0.02106 seconds |
./spec/repositories/persistence/menus_repository_spec.rb[1:4:3:3]       | passed | 0.02323 seconds |
./spec/repositories/persistence/menus_repository_spec.rb[1:4:4:1]       | passed | 0.07765 seconds |
./spec/repositories/persistence/menus_repository_spec.rb[1:5:1:1]       | passed | 0.03046 seconds |
./spec/repositories/persistence/menus_repository_spec.rb[1:5:2:1]       | passed | 0.06464 seconds |
./spec/repositories/persistence/menus_repository_spec.rb[1:6:1:1]       | failed | 0.05382 seconds |
./spec/repositories/persistence/menus_repository_spec.rb[1:6:2:1]       | passed | 0.03208 seconds |
./spec/repositories/persistence/restaurants_repository_spec.rb[1:1:1]   | passed | 0.01914 seconds |
./spec/repositories/persistence/restaurants_repository_spec.rb[1:2:1]   | passed | 0.01718 seconds |
./spec/repositories/persistence/restaurants_repository_spec.rb[1:3:1]   | passed | 0.01981 seconds |
./spec/repositories/persistence/restaurants_repository_spec.rb[1:4:1:1] | failed | 0.00326 seconds |
./spec/repositories/persistence/restaurants_repository_spec.rb[1:4:1:2] | failed | 0.00394 seconds |
./spec/repositories/persistence/restaurants_repository_spec.rb[1:4:2:1] | passed | 0.00451 seconds |
./spec/repositories/persistence/restaurants_repository_spec.rb[1:4:2:2] | passed | 0.01037 seconds |
./spec/repositories/persistence/restaurants_repository_spec.rb[1:4:2:3] | passed | 0.00675 seconds |
./spec/repositories/persistence/restaurants_repository_spec.rb[1:4:3:1] | passed | 0.01122 seconds |
./spec/repositories/persistence/restaurants_repository_spec.rb[1:4:3:2] | passed | 0.01539 seconds |
./spec/repositories/persistence/restaurants_repository_spec.rb[1:4:3:3] | passed | 0.0202 seconds  |
./spec/repositories/persistence/restaurants_repository_spec.rb[1:4:4:1] | passed | 0.03544 seconds |
./spec/repositories/persistence/restaurants_repository_spec.rb[1:4:4:2] | failed | 0.0123 seconds  |
./spec/repositories/persistence/restaurants_repository_spec.rb[1:5:1:1] | passed | 0.01666 seconds |
./spec/repositories/persistence/restaurants_repository_spec.rb[1:5:2:1] | passed | 0.03539 seconds |
./spec/repositories/persistence/restaurants_repository_spec.rb[1:5:3:1] | passed | 0.0455 seconds  |
